CategoryID,Category Path
162809,Art > Aboriginal > Paintings
162806,Art > Aboriginal > Sculptures
27158,Art > Aboriginal > Other Aboriginal Art
28009,Art > Art Posters
552,Art > Art Drawings
2211,Art > Art Photographs
360,Art > Art Prints
553,Art > Art Sculptures
357,Art > Folk Art & Indigenous Art
554,Art > Mixed Media Art & Collage Art
551,Art > Paintings
156196,Art > Textile Art & Fiber Art
20158,Art > Other Art
18786,Baby > Baby Clothing > Accessories > Hair Accessories
163224,Baby > Baby Clothing > Accessories > Hats
163226,Baby > Baby Clothing > Accessories > Other
57793,Baby > Baby Clothing > Boys > Bottoms
147338,Baby > Baby Clothing > Boys > Jumpers
57784,Baby > Baby Clothing > Boys > One-Pieces
147324,Baby > Baby Clothing > Boys > Outerwear
147333,"Baby > Baby Clothing > Boys > Outfits, Sets"
147336,Baby > Baby Clothing > Boys > Sleepwear
147339,Baby > Baby Clothing > Boys > Swimwear
147340,"Baby > Baby Clothing > Boys > Tops, T-Shirts"
147342,Baby > Baby Clothing > Boys > Mixed Items
147343,Baby > Baby Clothing > Boys > Other
163175,Baby > Baby Clothing > Girls > Bottoms
163351,Baby > Baby Clothing > Girls > Dresses
147216,Baby > Baby Clothing > Girls > Jumpers
57847,Baby > Baby Clothing > Girls > One-Pieces
147202,Baby > Baby Clothing > Girls > Outerwear
147211,"Baby > Baby Clothing > Girls > Outfits, Sets"
147215,Baby > Baby Clothing > Girls > Sleepwear
152398,Baby > Baby Clothing > Girls > Swimwear
147218,"Baby > Baby Clothing > Girls > Tops, T-Shirts"
147220,Baby > Baby Clothing > Girls > Mixed Items
147221,Baby > Baby Clothing > Girls > Other
163424,Baby > Baby Clothing > Unisex > Bottoms
163425,Baby > Baby Clothing > Unisex > One-Pieces
163399,Baby > Baby Clothing > Unisex > Outerwear
163427,"Baby > Baby Clothing > Unisex > Outfits, Sets"
163400,Baby > Baby Clothing > Unisex > Sleepwear
57749,Baby > Baby Clothing > Unisex > Socks
163401,"Baby > Baby Clothing > Unisex > Tops, T-Shirts"
163402,Baby > Baby Clothing > Unisex > Mixed Items
57875,Baby > Baby Clothing > Unisex > Other
1070,Baby > Baby Clothing > Other Baby Clothing
147285,Baby > Baby Shoes
100221,"Baby > Bathing, Grooming > Bathing Accessories"
113814,"Baby > Bathing, Grooming > Bath Tubs"
45452,"Baby > Bathing, Grooming > Health, Grooming"
20398,"Baby > Bathing, Grooming > Skincare"
45453,"Baby > Bathing, Grooming > Towels, Washcloths"
45454,"Baby > Bathing, Grooming > Other Bathing, Grooming"
